exact_match,chrf,levenshtein,prefix_similarity,matched_ratio,human eval
0,0.176737026901227,147,0.0,0.06282722513089001,1
1,0.16666666666666602,0,1.0,1.0,2
0,0.19291132369208602,353,0.0,0.016064257028112,1
0,0.26093372721929003,711,0.479166666666666,0.479166666666666,1
0,0.166724292947413,61,0.07228915662650601,0.156626506024096,2
0,0.277027851808041,649,0.0,0.006960556844547001,0
0,0.29723854366867003,749,0.0,0.021505376344086002,0
0,0.32355869984838304,782,0.0,0.4,0
0,0.020325203252032003,8,0.0,0.11111111111111101,2
0,0.7530516740488731,5,0.277777777777777,0.7222222222222221,2
0,0.5095874216619161,772,0.0,0.327731092436974,1
0,0.37584903444601503,627,0.032967032967032,0.018315018315018,1
0,0.837394419543624,513,0.183229813664596,0.012422360248447001,1
0,0.26650460682467103,801,0.0,0.122807017543859,0
0,0.049833654918100004,502,0.052141527001862004,0.052141527001862004,2
0,0.463863063664921,791,0.053571428571428006,0.196428571428571,2
0,0.302114147867211,340,0.028455284552845003,0.022357723577235002,2
0,0.28646321548950104,122,0.0057142857142850004,0.09142857142857101,2
0,0.540387678305086,127,0.005649717514124001,0.169491525423728,0
0,0.174721789588336,738,0.015873015873015,0.11111111111111101,0
0,0.348671105112894,599,0.0029761904761900003,0.014880952380952002,0
0,0.088888888888888,58,0.0,1.0,0
0,0.33425078755195103,722,0.109004739336492,0.109004739336492,1
0,0.268471820048487,741,0.029940119760479004,0.014970059880239,1
0,0.28107429835728304,677,0.0,0.21311475409836,0
0,0.39117970152303305,373,0.0018315018315010001,0.009157509157509,0
0,0.8377264774323591,29,0.6792452830188671,0.6792452830188671,1
0,0.39733836266230205,335,0.0,0.192307692307692,1
0,0.272702751493029,731,0.0,0.38095238095238004,0
0,0.39926813292658103,286,0.122605363984674,0.122605363984674,1
0,0.10925247911426901,858,1.0,1.0,0
0,0.07726375413757801,440,0.07692307692307601,0.384615384615384,0
0,0.17975907467061902,566,0.7000000000000001,0.7000000000000001,1
0,0.067550781333424,702,0.0,0.003344481605351,0
0,0.423803428214486,757,0.058510638297872,0.170212765957446,1
0,0.210502981011459,897,0.097560975609756,0.585365853658536,0
0,0.574903011980339,568,0.251461988304093,0.29239766081871305,1
0,0.14951299663442102,877,0.0,1.0,0
0,0.642226822747157,42,0.0,0.39449541284403605,2
0,0.316308755195907,169,0.0,0.024896265560165002,1
0,0.19675321939710103,908,0.17500000000000002,0.17500000000000002,1
0,0.601043417371786,590,0.0,0.41875,1
0,0.24494075582964303,859,0.0,0.046875,0
